id_long,label,x,y,z,id_short
TD3W211120,DOT20,25.0829075,-9.11154,4.796871,120
TD3W211126,DOT21,42.46567383,-17.5102,3.592475,126
TD3W211131,DOT22,39.12574875,-37.5421,3.49579,131
TD3W211133,DOT23,32.51452336,-29.6195,3.519441,133
TD3W211153,DOT24,10.79070028,-42.598,2.628408,153
TD3W201323,DOT01,43.17011372,-8.38082,3.513311,323
TD3W201332,DOT02,24.46858448,-21.6504,4.785801,332
TD3W201338,DOT04,32.17194243,-21.734,2.605779,338
TD3W201346,DOT05,8.460898411,-18.2943,4.241591,346
TD3W201348,DOT06,15.07630241,-8.99694,7.130095,348
TD3W201349,DOT07,15.40849395,-9.09158,2.646529,349
TD3W201353,DOT08,22.26346971,-0.2057,4.785615,353
TD3W201354,DOT09,3.64971104,-7.27258,4.809119,354
TD3W201364,DOT10,34.4987597,-9.09197,4.666489,364
TD3W201381,DOT11,69.33083099,-44.6078,2.617989,381
TD3W201393,DOT12,61.95570133,-16.9893,2.363344,393
TD3W201408,DOT13,57.71321072,-0.11145,3.939427,408
TD3W201409,DOT14,72.67476759,-1.94222,4.552675,409
TD3W318411,DOT27,71.25893557,-35.438,2.7765,411
TD3W318415,DOT28,78.24102317,-20.9534,2.652075,415
TD3W201419,DOT15,51.18613977,-9.11947,4.581082,419
TD3W318425,DOT26,28.86024712,-42.5671,2.709405,425
TD3W318456,DOT25,46.65729355,-42.5812,2.715456,456
TD3T942468,DOT03,31.62278218,-21.6684,7.221183,468
TD3W201473,DOT16,6.890953226,-0.08589,2.661147,473
TD3W201475,DOT17,7.112928847,-0.12209,7.206165,475
TD3W201476,DOT18,33.74421675,-0.17424,2.646513,476
TD3W201480,DOT19,33.15745809,-0.09723,7.229098,480
